TARGET_MONTH,PEAK_TYPE,EID
2023-08,ON,1636
2023-08,OFF,12
2023-08,OFF,438
2023-08,ON,989
2023-08,OFF,1834
2023-08,ON,6395
2023-08,ON,524
2023-08,OFF,274
2023-08,OFF,5152
2023-08,OFF,6585
2023-08,OFF,36
2023-08,ON,12
2023-08,OFF,2350
2023-08,OFF,524
2023-08,ON,5040
2023-08,OFF,4999
2023-08,ON,870
2023-08,ON,6573
2023-08,OFF,6573
2023-08,OFF,5043
2023-08,OFF,6817
2023-08,ON,5270
2023-08,OFF,5714
2023-08,ON,439
2023-08,OFF,5049
2023-08,ON,5152
2023-08,OFF,5662
2023-08,ON,4659
2023-08,ON,8002
2023-08,ON,6842
2023-08,OFF,5620
2023-08,OFF,5304
2023-08,ON,5049
2023-08,OFF,5035
2023-08,ON,4768
2023-08,OFF,5402
2023-08,ON,5273
2023-08,OFF,6138
2023-08,ON,6585
2023-08,OFF,4659
2023-08,OFF,1636
2023-08,ON,2832
2023-08,OFF,5573
2023-08,OFF,4997
2023-08,OFF,4768
2023-08,OFF,2832
2023-08,ON,7383
2023-08,OFF,7383
2023-08,OFF,439
2023-08,OFF,5273
2023-08,ON,5573
2023-08,ON,8011
2023-08,OFF,8011
2023-09,ON,6671
2023-09,ON,989
2023-09,OFF,12
2023-09,OFF,495
2023-09,ON,4991
2023-09,OFF,1536
2023-09,OFF,4633
2023-09,OFF,4991
2023-09,ON,1901
2023-09,OFF,1158
2023-09,OFF,1243
2023-09,OFF,524
2023-09,ON,5620
2023-09,ON,4633
2023-09,ON,5270
2023-09,ON,4811
2023-09,ON,5232
2023-09,OFF,2350
2023-09,OFF,5488
2023-09,OFF,5573
2023-09,ON,5488
2023-09,OFF,8002
2023-09,ON,1158
2023-09,ON,36
2023-09,OFF,274
2023-09,OFF,5043
2023-09,OFF,1275
2023-09,ON,971
2023-09,OFF,4811
2023-09,OFF,6585
2023-09,OFF,868
2023-09,OFF,6650
2023-09,ON,853
2023-09,OFF,280
2023-09,ON,5662
2023-09,ON,5049
2023-09,ON,5273
2023-09,ON,274
2023-09,OFF,6817
2023-09,OFF,5698
2023-09,ON,6138
2023-09,OFF,870
2023-09,ON,8002
2023-09,ON,1678
2023-09,ON,7884
2023-09,OFF,4559
2023-09,ON,4832
2023-09,OFF,5304
2023-09,OFF,971
2023-09,ON,5731
2023-09,OFF,36
2023-09,OFF,6395
2023-09,ON,870
2023-09,ON,7383
2023-09,ON,6395
2023-09,ON,6817
2023-09,OFF,1444
2023-09,ON,4659
2023-09,OFF,2417
2023-09,ON,6585
2023-09,OFF,5620
2023-09,OFF,7884
2023-09,OFF,5232
2023-09,ON,2417
2023-09,OFF,438
2023-09,ON,4768
2023-09,OFF,6138
2023-09,OFF,4659
2023-09,OFF,4768
2023-09,OFF,2832
2023-09,OFF,7383
2023-09,ON,5152
2023-09,OFF,4997
2023-09,ON,5573
2023-09,ON,2832
2023-09,OFF,5273
2023-09,OFF,1636
2023-09,ON,4997
2023-09,ON,8011
2023-09,OFF,8011
2023-10,OFF,438
2023-10,ON,5152
2023-10,ON,5731
2023-10,ON,1947
2023-10,OFF,1536
2023-10,OFF,2828
2023-10,OFF,971
2023-10,OFF,5620
2023-10,ON,6200
2023-10,OFF,5546
2023-10,ON,438
2023-10,ON,4691
2023-10,ON,1599
2023-10,ON,3216
2023-10,ON,3035
2023-10,ON,5573
2023-10,OFF,5611
2023-10,ON,36
2023-10,OFF,36
2023-10,OFF,5049
2023-10,ON,4811
2023-10,ON,5005
2023-10,OFF,274
2023-10,OFF,1058
2023-10,ON,7383
2023-10,ON,5232
2023-10,ON,524
2023-10,OFF,5043
2023-10,ON,4659
2023-10,OFF,6200
2023-10,ON,1536
2023-10,ON,699
2023-10,OFF,5005
2023-10,ON,2350
2023-10,OFF,2350
2023-10,OFF,1444
2023-10,OFF,4795
2023-10,OFF,5976
2023-10,OFF,4811
2023-10,OFF,4822
2023-10,ON,4997
2023-10,ON,4795
2023-10,ON,6311
2023-10,OFF,5304
2023-10,ON,8002
2023-10,OFF,2417
2023-10,ON,6180
2023-10,OFF,5232
2023-10,ON,6087
2023-10,OFF,3216
2023-10,ON,2417
2023-10,OFF,7383
2023-10,OFF,524
2023-10,ON,1678
2023-10,OFF,6180
2023-10,OFF,1243
2023-10,OFF,495
2023-10,OFF,8002
2023-10,OFF,4999
2023-10,ON,4822
2023-10,ON,4922
2023-10,ON,6817
2023-10,ON,6585
2023-10,ON,1636
2023-10,OFF,6138
2023-10,OFF,4659
2023-10,ON,5273
2023-10,OFF,6817
2023-10,OFF,5273
2023-10,OFF,4997
2023-10,OFF,6395
2023-10,OFF,2832
2023-10,ON,6395
2023-10,ON,2832
2023-10,ON,6138
2023-10,OFF,8011
2023-10,ON,8011
2023-10,OFF,1636
2023-10,OFF,4768
2023-10,ON,4768
2023-11,ON,230
2023-11,ON,4691
2023-11,OFF,524
2023-11,OFF,10
2023-11,ON,2314
2023-11,OFF,5964
2023-11,ON,10
2023-11,OFF,4880
2023-11,OFF,1636
2023-11,OFF,1275
2023-11,ON,5662
2023-11,OFF,4903
2023-11,ON,1947
2023-11,ON,7017
2023-11,OFF,230
2023-11,ON,971
2023-11,OFF,5232
2023-11,ON,1275
2023-11,ON,5035
2023-11,ON,36
2023-11,ON,1394
2023-11,ON,6585
2023-11,OFF,1158
2023-11,OFF,7157
2023-11,ON,7174
2023-11,OFF,8011
2023-11,OFF,495
2023-11,ON,2417
2023-11,ON,2828
2023-11,OFF,3
2023-11,ON,6200
2023-11,OFF,7174
2023-11,OFF,5152
2023-11,OFF,4922
2023-11,OFF,36
2023-11,ON,5152
2023-11,OFF,4811
2023-11,OFF,4866
2023-11,OFF,4659
2023-11,ON,5173
2023-11,OFF,5035
2023-11,ON,6992
2023-11,OFF,6992
2023-11,ON,5049
2023-11,ON,2350
2023-11,ON,5163
2023-11,ON,3216
2023-11,OFF,6395
2023-11,OFF,868
2023-11,OFF,5163
2023-11,OFF,2832
2023-11,ON,5273
2023-11,OFF,4559
2023-11,OFF,2828
2023-11,ON,4796
2023-11,OFF,5273
2023-11,OFF,1280
2023-11,ON,5043
2023-11,ON,5304
2023-11,ON,6180
2023-11,OFF,6817
2023-11,ON,1678
2023-11,ON,4997
2023-11,OFF,5573
2023-11,OFF,7383
2023-11,ON,4559
2023-11,ON,4922
2023-11,OFF,5304
2023-11,ON,6817
2023-11,OFF,4997
2023-11,OFF,3216
2023-11,OFF,1444
2023-11,ON,6157
2023-11,ON,7383
2023-11,ON,2832
2023-11,OFF,6157
2023-11,ON,1280
2023-11,ON,8011
2023-11,OFF,4768
2023-11,ON,4768
2023-12,OFF,1280
2023-12,OFF,5163
2023-12,OFF,5152
2023-12,ON,5270
2023-12,ON,7234
2023-12,OFF,420
2023-12,ON,4803
2023-12,OFF,1678
2023-12,ON,4997
2023-12,OFF,5964
2023-12,ON,4795
2023-12,OFF,7020
2023-12,OFF,5005
2023-12,ON,5005
2023-12,OFF,6360
2023-12,OFF,1444
2023-12,ON,2627
2023-12,ON,5163
2023-12,OFF,6122
2023-12,ON,4919
2023-12,OFF,5611
2023-12,OFF,2627
2023-12,ON,4559
2023-12,ON,4880
2023-12,ON,1947
2023-12,ON,7020
2023-12,ON,6122
2023-12,OFF,64
2023-12,ON,2350
2023-12,OFF,1947
2023-12,ON,3046
2023-12,ON,5043
2023-12,ON,5222
2023-12,OFF,3216
2023-12,ON,5573
2023-12,ON,6180
2023-12,ON,3216
2023-12,ON,420
2023-12,ON,1394
2023-12,OFF,6573
2023-12,ON,5232
2023-12,ON,3365
2023-12,OFF,3365
2023-12,ON,7490
2023-12,ON,4922
2023-12,ON,5152
2023-12,ON,1678
2023-12,OFF,6585
2023-12,OFF,5173
2023-12,ON,4796
2023-12,OFF,4659
2023-12,OFF,1537
2023-12,OFF,5222
2023-12,ON,5173
2023-12,OFF,7383
2023-12,OFF,5304
2023-12,OFF,4525
2023-12,OFF,6817
2023-12,OFF,4559
2023-12,OFF,3046
2023-12,OFF,4880
2023-12,OFF,2350
2023-12,OFF,7490
2023-12,ON,5304
2023-12,ON,6585
2023-12,OFF,4903
2023-12,ON,6817
2023-12,ON,2417
2023-12,OFF,6992
2023-12,ON,8011
2023-12,ON,2832
2023-12,OFF,2832
2023-12,ON,989
2023-12,ON,6992
2023-12,OFF,989
2023-12,ON,7383
2023-12,OFF,6157
2023-12,ON,4768
2023-12,ON,6157
2023-12,OFF,4768
